"country","period","sex","education","age.x","lx","LE","dx","edu","year","age.y","share","age2"
"Denmark","2011-2015","m","Middle","60-64",92495.519823126,21.7479077624942,4973.74313026767,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","Middle","65-69",87521.7766928583,17.8417400934087,7143.04481212338,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","Middle","70-74",80378.7318807349,14.2051198633928,10131.1408678071,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","Middle","75-79",70247.5910129279,10.8932377974124,14346.7149118328,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","Middle","80-84",55900.8761010951,8.04732550167182,18416.7157047679,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","Middle","85-89",37484.1603963272,5.77283717395965,19488.2849497151,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","Middle","90+",17995.8754466121,4.31709283572874,17995.8754466121,"Medium","2011","30-34",0.460265851139458,"30"
"Denmark","2011-2015","m","High","30-34",1e+05,52.6359392209753,132.822062002553,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","35-39",99867.1779379974,47.7026193752088,176.399486291863,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","40-44",99690.7784517056,42.7826038929412,325.366677456783,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","45-49",99365.4117742488,37.9145071050743,575.223405945348,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","50-54",98790.1883683035,33.1207143583788,991.889760466773,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","55-59",97798.2986078367,28.43127572256,1970.57521707585,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","60-64",95827.7233907608,23.9645194173692,3363.36732827373,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","65-69",92464.3560624871,19.7452858272568,5160.40615151102,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","70-74",87303.9499109761,15.7646289286661,8109.83965791717,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","75-79",79194.1102530589,12.1229876928407,12510.4086527244,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","80-84",66683.7016003345,8.92833900970538,18746.4328460113,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","85-89",47937.2687543232,6.44221659781826,22252.5956581885,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","High","90+",25684.6730961347,4.8576601823991,25684.6730961347,"High","2011","30-34",0.344762786205786,"30"
"Denmark","2011-2015","m","Low","30-34",1e+05,45.9615044117369,704.96288229432,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","35-39",99295.0371177057,41.2700671386195,1076.94156327385,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","40-44",98218.0955544318,36.6951730875468,1456.82834996957,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","45-49",96761.2672044623,32.2100123308236,2301.14211179245,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","50-54",94460.1250926698,27.9337776280775,3665.04625328322,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","55-59",90795.0788393866,23.9604408855379,5022.30744420984,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","60-64",85772.7713951768,20.2170276818172,6947.95109796662,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","65-69",78824.8202972101,16.7786809969843,8277.6787969447,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","70-74",70547.1415002654,13.4540760934196,10379.8267732883,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","75-79",60167.3147269771,10.3438299045555,13635.6991100442,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","80-84",46531.6156169329,7.64239837312942,16820.2860423209,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","85-89",29711.329574612,5.55363165746931,16006.2319322141,"Low","2011","30-34",0.194971362654756,"30"
"Denmark","2011-2015","m","Low","90+",13705.0976423978,4.11997885326015,13705.0976423978,"Low","2011","30-34",0.194971362654756,"30"
