"x","lx","cohort"
10,97200.2968830736,1965
11,97152.8531759581,1965
12,97121.2565799443,1965
13,97087.4750543133,1965
14,97046.9744833751,1965
15,97013.2753085561,1965
16,96972.9331696945,1965
17,96905.7656642292,1965
18,96838.6864510005,1965
19,96720.4050012296,1965
20,96622.5228996633,1965
21,96523.0088611783,1965
22,96393.4650065246,1965
23,96273.1149304951,1965
24,96176.7186773986,1965
25,96071.6110139286,1965
26,95964.5860645408,1965
27,95844.9028715886,1965
28,95753.8507843675,1965
29,95634.8539954872,1965
30,95520.3121652462,1965
31,95395.7163057546,1965
32,95280.2385486856,1965
33,95128.5554681443,1965
34,95015.5951585868,1965
35,94911.3246503347,1965
36,94787.9042750709,1965
37,94679.3672758926,1965
38,94562.2394851783,1965
39,94419.5426340353,1965
40,94304.55482998,1965
41,94134.0925086047,1965
42,93969.9692476283,1965
43,93746.7375758404,1965
44,93532.5956872184,1965
45,93343.8920178355,1965
46,93108.5857289563,1965
47,92888.2806237128,1965
48,92672.2792916475,1965
49,92460.4860288063,1965
50,92202.6438611208,1965
51,91856.9486696612,1965
52,91530.6861605588,1965
53,91185.9449515756,1965
54,90868.7205753666,1965
55,90500.9835506549,1965
56,90085.3503943184,1965
0,1e+05,1966
1,98035.8953407111,1966
2,97917.049428031,1966
3,97817.868424267,1966
4,97740.794136519,1966
5,97679.2442155416,1966
6,97609.0157947968,1966
7,97560.7781785517,1966
8,97510.43693851,1966
9,97479.7572365932,1966
10,97435.8541112402,1966
11,97407.3560064157,1966
12,97372.3313505668,1966
13,97341.7194064124,1966
14,97306.8051785328,1966
15,97271.9407386885,1966
16,97224.0629360684,1966
17,97182.7536666825,1966
18,97117.6746539472,1966
19,97011.7356184003,1966
20,96895.2540162081,1966
21,96792.7221231381,1966
22,96677.4882599063,1966
23,96566.3431518263,1966
24,96478.8133687456,1966
25,96368.1356342709,1966
26,96277.0113883009,1966
27,96205.212989566,1966
28,96095.5707030862,1966
29,95996.7440991991,1966
30,95879.8300182136,1966
31,95776.0367496658,1966
32,95655.8970330862,1966
33,95566.8291234042,1966
34,95465.4510426992,1966
35,95370.3141321318,1966
36,95237.9011593752,1966
37,95097.2908215488,1966
38,94973.2461215735,1966
39,94822.2498422187,1966
40,94675.2705020083,1966
41,94534.5590276647,1966
42,94348.6669082228,1966
43,94159.2339791988,1966
44,93973.9624650372,1966
45,93726.9379545444,1966
46,93519.0344361618,1966
47,93292.5950106406,1966
48,93099.238501386,1966
49,92891.680537591,1966
50,92621.3761594358,1966
51,92363.8369018472,1966
52,92067.6285896766,1966
53,91744.9642404735,1966
54,91414.0847182616,1966
55,91011.9121055315,1966
0,1e+05,1967
1,98123.9555936828,1967
2,98011.3931161682,1967
3,97934.9412498813,1967
4,97858.3841999419,1967
5,97808.2227694881,1967
