"sex","geo","time","edu","prevnew"
"M","TR",2014,"ED5-8",0.259098183218136
"M","TR",2015,"ED0-2",0.357833465830273
"M","TR",2015,"ED3_4",0.352368369386448
"M","TR",2015,"ED5-8",0.289798164783279
"M","TR",2016,"ED0-2",0.347871505647987
"M","TR",2016,"ED3_4",0.323476229389679
"M","TR",2016,"ED5-8",0.328652264962333
"M","TR",2017,"ED0-2",0.399955633704031
"M","TR",2017,"ED3_4",0.268497646302754
"M","TR",2017,"ED5-8",0.331546719993215
"M","TR",2018,"ED0-2",0.388885993485342
"M","TR",2018,"ED3_4",0.274306188925081
"M","TR",2018,"ED5-8",0.336807817589577
"M","TR",2020,"ED0-2",0.371330060037807
"M","TR",2020,"ED3_4",0.283565786615436
"M","TR",2020,"ED5-8",0.345104153346757
